SKU,Title,Price,Cover_Image_URL
EDU01,How to Walk on Water When Life Feels Impossible,15.99,https://d8j0ntlcm91z4.cloudfront.net/user_3E1AMf8iNHnvHb2OopsVVchSZzc/hf_20260626_102517_495cd50b-1cea-4b02-8946-e1d7142a9855.jpeg
EDU02,When Everyone Walked Out God Walked In,15.99,https://d8j0ntlcm91z4.cloudfront.net/user_3E1AMf8iNHnvHb2OopsVVchSZzc/hf_20260626_102520_45adf34d-2874-41dc-98c8-325955c70b58.png
EDU03,The Footprint of Jesus in My Heart,15.99,https://d8j0ntlcm91z4.cloudfront.net/user_3E1AMf8iNHnvHb2OopsVVchSZzc/hf_20260626_102523_094f20ee-32b5-41fa-9893-eda07d9542a7.jpeg
EDU04,No Weapon Shall Prosper,15.99,https://d8j0ntlcm91z4.cloudfront.net/user_3E1AMf8iNHnvHb2OopsVVchSZzc/hf_20260626_102526_5ecf0695-3eba-49ac-9bcd-5fde86613ac1.jpeg
EDU05,From Pain to Purpose,15.99,https://d8j0ntlcm91z4.cloudfront.net/user_3E1AMf8iNHnvHb2OopsVVchSZzc/hf_20260626_102528_963f39df-5cec-41ac-a129-9cb3465382da.png
EDU06,The Power of a Declaration,15.99,https://d8j0ntlcm91z4.cloudfront.net/user_3E1AMf8iNHnvHb2OopsVVchSZzc/hf_20260626_102531_bac7a5df-ad4b-4a9b-8737-43dcb661212b.jpeg
EDU07,Commanding My Morning,15.99,https://d8j0ntlcm91z4.cloudfront.net/user_3E1AMf8iNHnvHb2OopsVVchSZzc/hf_20260626_102533_299df892-7208-4f87-903b-909090898b3c.jpeg
EDU08,The Woman God Remembered,15.99,https://d8j0ntlcm91z4.cloudfront.net/user_3E1AMf8iNHnvHb2OopsVVchSZzc/hf_20260626_102536_1e146317-fba9-4b93-a20f-ec93fc91c0c1.jpeg
EDU09,When the Storm Did Not Stop Me,15.99,https://d8j0ntlcm91z4.cloudfront.net/user_3E1AMf8iNHnvHb2OopsVVchSZzc/hf_20260626_102538_45922de9-1023-4759-a247-1b55c6ab01b4.png
EDU10,Faith Over Fear,15.99,https://d8j0ntlcm91z4.cloudfront.net/user_3E1AMf8iNHnvHb2OopsVVchSZzc/hf_20260626_102541_8d1acffe-9e1d-4abf-8821-cf296218ef1b.jpeg
EDU11,The Scroll Life,15.99,https://d8j0ntlcm91z4.cloudfront.net/user_3E1AMf8iNHnvHb2OopsVVchSZzc/hf_20260626_102553_1b232c60-b7d5-4747-9c8f-07d9d764fc05.jpeg
EDU12,Healing Words for Broken Places,15.99,https://d8j0ntlcm91z4.cloudfront.net/user_3E1AMf8iNHnvHb2OopsVVchSZzc/hf_20260626_102557_75ec0776-5049-4d00-9281-f2c005a2cd78.jpeg
EDU13,The House Covered in Prayer,15.99,https://d8j0ntlcm91z4.cloudfront.net/user_3E1AMf8iNHnvHb2OopsVVchSZzc/hf_20260626_102558_a60e10e6-b1e3-4646-8181-83dab24b8593.jpeg
