Chapter,Video_URL,Status
CH01,https://d8j0ntlcm91z4.cloudfront.net/user_3E1AMf8iNHnvHb2OopsVVchSZzc/hf_20260707_170837_80c810dc-9143-4f02-ac55-68fcb5cc3d3a.mp4,linked
CH02,https://d8j0ntlcm91z4.cloudfront.net/user_3E1AMf8iNHnvHb2OopsVVchSZzc/hf_20260707_170905_b23dda55-01a2-4b7e-a832-f97f7cf4a349.mp4,linked
CH03,https://d8j0ntlcm91z4.cloudfront.net/user_3E1AMf8iNHnvHb2OopsVVchSZzc/hf_20260707_170843_14963d8e-6517-49df-9c2a-c29f7f801a31.mp4,linked
CH04,https://d8j0ntlcm91z4.cloudfront.net/user_3E1AMf8iNHnvHb2OopsVVchSZzc/hf_20260707_170845_a4a567d6-8b70-42cf-ace9-2e5bd3e6b37c.mp4,linked
CH05,https://d8j0ntlcm91z4.cloudfront.net/user_3E1AMf8iNHnvHb2OopsVVchSZzc/hf_20260707_170848_58b575fd-5af4-470f-91f6-18328984f5dd.mp4,linked
CH06,https://d8j0ntlcm91z4.cloudfront.net/user_3E1AMf8iNHnvHb2OopsVVchSZzc/hf_20260707_170851_57887a0a-6744-40cf-8ff1-3c0b42ecdacf.mp4,linked
CH07,https://d8j0ntlcm91z4.cloudfront.net/user_3E1AMf8iNHnvHb2OopsVVchSZzc/hf_20260707_170918_8e62aa7a-cdec-49a2-9b74-79f799eb1dd5.mp4,linked
CH08,https://d8j0ntlcm91z4.cloudfront.net/user_3E1AMf8iNHnvHb2OopsVVchSZzc/hf_20260707_170925_05adceb0-3c75-4eee-a69e-c68d03ca2196.mp4,linked
CH09,https://d8j0ntlcm91z4.cloudfront.net/user_3E1AMf8iNHnvHb2OopsVVchSZzc/hf_20260707_170934_5871e141-ebae-4c4e-b327-24f0c263690f.mp4,linked
CH10,https://d8j0ntlcm91z4.cloudfront.net/user_3E1AMf8iNHnvHb2OopsVVchSZzc/hf_20260707_171001_95c3d5ff-edfe-46e7-898b-75885490de67.mp4,linked
