Chapter,Chapter_Title,Scripture_Ref,Scripture_Text,Theme,Testimony_Notes,Chapter_Draft,Book_Visual_Prompt,Short_Video_Prompt,Long_Video_Prompt,Voiceover_Caption,Status,Asset_Base_Name,Target_Visual_File
CH01,In the Beginning: James and Margaret,Psalm 139:16,Thine eyes did see my substance... and in thy book all my members were written.,Origins & Foreknowledge,"Where the story begins - James & Margaret, God's hand before birth. (Expand with personal details.) [EARLY-LIFE VISUAL NOTE: No childhood photos available. Absence of photos is part of the testimony. Use symbolic book artwork to represent memory, survival, foster care, and God's presence.]",(to be written - see 01 Manuscript folder),"[Early-life — symbolic cinematic artwork only. No childhood photos available. Absence of photos is part of the testimony. Use symbolic book artwork to represent memory, survival, foster care, and God's presence.] Cinematic, premium faith-based book illustration for 'This Is How You Walk on Water' - Chapter 1: In the Beginning: James and Margaret. Scene: an old family photograph dissolving into golden light; a baby cradled by unseen hands; roots beneath a calm sea. Mood: origins and divine foreknowledge. Style: Heavenly Hands Divine - water motif, divine golden light, deep jewel tones (navy, teal, gold), tasteful, hopeful, fine-art testimony illustration. Feature Loretta 'Lolo' Hall's likeness (Higgsfield Soul 'Coral Elegance Unveiled') as the woman. Vertical 2:3, high resolution, no text, no watermark.","15-30s vertical reel (9:16). HOOK (0-3s): ""Before I had a name, God already knew my story."" VISUALS: an old family photograph dissolving into golden light; a baby cradled by unseen hands; roots beneath a calm sea; slow cinematic push-in, water and golden light, soft particles. TONE: Faith Over Fear - intimate, uplifting. Optional captions. END CARD: 'This Is How You Walk on Water - Chapter 1'.",60-90s testimony teaser (9:16). ARC: open in the weight of origins and divine foreknowledge; move through the moment (an old family photograph dissolving into golden light; a baby cradled by unseen hands; roots beneath a calm sea); resolve into hope and light. Loretta 'Lolo' Hall voiceover over soft cinematic b-roll of water and golden light; subtle scripture overlay; build to the turning point. CTA: 'Read Chapter 1 of This Is How You Walk on Water.',"Warm, intimate, faith-filled - Loretta 'Lolo' Hall. Pace: slow, tender, hopeful. SEED LINE: ""My story didn't begin with me - it began in the heart of God."" ~120-150 words (long) / ~30 words (reel). End with a gentle invitation to keep walking in faith. CAPTION: ""Before I had a name, God already knew my story."" - from Chapter 1 of This Is How You Walk on Water. #FaithOverFear #WalkOnWater #HeavenlyHandsDivine",Approved (Loretta) 2026-07-03,In_the_Beginning_James_and_Margaret,WOWBOOK_CH01_In_the_Beginning_James_and_Margaret_V1_Draft.png
CH02,Every Girl Needs a James,Proverbs 18:24,A man that hath friends must shew himself friendly: and there is a friend that sticketh closer than a brother.,"Covering, protection, safe love, godly support","Every girl needs someone safe, honorable, and protective — someone who reminds her she matters. James = covering, protection, godly strength that shelters (not Jesus; an earthly father/uncle figure). Foster care all young life; no childhood photos. Private boundary: no private foster-care details, no naming people tied to painful events without approval, no accusations. [EARLY-LIFE VISUAL NOTE: No childhood photos available. Absence of photos is part of the testimony. Use symbolic book artwork to represent memory, survival, foster care, and God's presence.]",(to be written - see 01 Manuscript folder),"[Early-life — symbolic cinematic artwork only. No childhood photos available. Absence of photos is part of the testimony. Use symbolic book artwork to represent memory, survival, foster care, and God's presence.] Symbolic cinematic memoir book illustration for Chapter 2: Every Girl Needs a James. A young girl safe under the covering of a dignified, honorable fatherly/uncle figure near still water or under an oak tree, soft golden light, safety after instability. IMPORTANT: warm, honorable, EARTHLY — a human father/uncle, NOT Jesus and not Jesus-like. Cream, gold, navy, water tones; clean space for a chapter title. Vertical 2:3, high resolution, no text, no watermark.","15-30s vertical reel (9:16). Open soft: a young girl near still water or under an oak tree; a protective, dignified fatherly figure nearby; golden light; safety after instability. HOOK: “Every girl needs a James.” Symbolic artwork only. END CARD: 'This Is How You Walk on Water - Chapter 2'.","60-90s testimony teaser (9:16). ARC: open in the weight of covering, protection, and love; move through the moment (a strong oak beside still water; a young woman safe beneath a covering of warm light); resolve into hope and light. Loretta 'Lolo' Hall voiceover over soft cinematic b-roll of water and golden light; subtle scripture overlay; build to the turning point. CTA: 'Read Chapter 2 of This Is How You Walk on Water.'","Every girl needs a James. Someone safe. Someone steady. Someone who reminds her she is worth protecting. And when life did not give me everything I needed, God still became my covering.",Approved (Loretta) 2026-07-03,Every_Girl_Needs_a_James,WOWBOOK_CH02_Every_Girl_Needs_a_James_V1_Draft.png
CH03,"The Foster Room Wasn't Home, But God Was",Psalm 27:10,"When my father and my mother forsake me, then the LORD will take me up.",Belonging,"The foster room season - displacement, yet God's nearness. (Expand with personal details.) [EARLY-LIFE VISUAL NOTE: No childhood photos available. Absence of photos is part of the testimony. Use symbolic book artwork to represent memory, survival, foster care, and God's presence.]",(to be written - see 01 Manuscript folder),"[Early-life — symbolic cinematic artwork only. No childhood photos available. Absence of photos is part of the testimony. Use symbolic book artwork to represent memory, survival, foster care, and God's presence.] Cinematic, premium faith-based book illustration for 'This Is How You Walk on Water' - Chapter 3: The Foster Room Wasn't Home, But God Was. Scene: a small dim foster bedroom with a single window pouring warm divine light onto a child. Mood: belonging and God's presence in displacement. Style: Heavenly Hands Divine - water motif, divine golden light, deep jewel tones (navy, teal, gold), tasteful, hopeful, fine-art testimony illustration. Feature Loretta 'Lolo' Hall's likeness (Higgsfield Soul 'Coral Elegance Unveiled') as the woman. Vertical 2:3, high resolution, no text, no watermark.","15-30s vertical reel (9:16). HOOK (0-3s): ""The room wasn't home - but God was."" VISUALS: a small dim foster bedroom with a single window pouring warm divine light onto a child; slow cinematic push-in, water and golden light, soft particles. TONE: Faith Over Fear - intimate, uplifting. Optional captions. END CARD: 'This Is How You Walk on Water - Chapter 3'.",60-90s testimony teaser (9:16). ARC: open in the weight of belonging and God's presence in displacement; move through the moment (a small dim foster bedroom with a single window pouring warm divine light onto a child); resolve into hope and light. Loretta 'Lolo' Hall voiceover over soft cinematic b-roll of water and golden light; subtle scripture overlay; build to the turning point. CTA: 'Read Chapter 3 of This Is How You Walk on Water.',"Warm, intimate, faith-filled - Loretta 'Lolo' Hall. Pace: slow, tender, hopeful. SEED LINE: ""Even when I had no home, God was my dwelling place."" ~120-150 words (long) / ~30 words (reel). End with a gentle invitation to keep walking in faith. CAPTION: ""The room wasn't home - but God was."" - from Chapter 3 of This Is How You Walk on Water. #FaithOverFear #WalkOnWater #HeavenlyHandsDivine",Approved - Visual 4K,Foster_Room_Wasnt_Home_But_God_Was,WOWBOOK_CH03_Foster_Room_Wasnt_Home_But_God_Was_V1_Draft.png
CH04,"Mother of Many Nations: Rejected at the Door, Called by God",Isaiah 55:5,"Behold, thou shalt call a nation that thou knowest not, and nations that knew not thee shall run unto thee because of the LORD thy God, and for the Holy One of Israel; for he hath glorified thee.","Rejection, mother wound, identity, nations, divine calling","Death of Loretta's mother and the motherless / mother wound; flying 3,000 miles only to be turned away at the door; the grief and rejection of that journey; and God calling Loretta “Mother of Many Nations.” Identity: Mother of Many Nations. Timing note (exact dates to be confirmed): “Over twenty years ago — nearly twenty-five years ago — God gave me Isaiah 55:5.” (Prior CH04 theme “Scraps From the Table No More” archived in 00 Needs Review pending Loretta's decision.) [EARLY-LIFE VISUAL NOTE: No childhood photos available. Absence of photos is part of the testimony. Use symbolic book artwork to represent memory, survival, foster care, and God's presence.]",(to be written - see 01 Manuscript folder),"[Early-life — symbolic cinematic artwork only. No childhood photos available. Absence of photos is part of the testimony. Use symbolic book artwork to represent memory, survival, foster care, and God's presence.] Create a vertical Christian memoir book visual for ‘Mother of Many Nations: Rejected at the Door, Called by God.’ Show a graceful Black woman standing outside a closed door after a long journey, carrying the weight of grief and rejection. In the distance, suggest the feeling of having traveled far, without showing literal airport signs or private details. Behind her, golden heavenly light opens into a wider horizon filled with soft silhouettes of many nations, symbolizing Isaiah 55:5 and the call of Mother of Many Nations. The image should feel emotional, dignified, sacred, and hopeful — not bitter, not overly dark. Painterly cinematic memoir style, cream, gold, navy, and water-toned accents, with clean space for a chapter title. Feature Loretta ‘Lolo’ Hall's likeness (Higgsfield Soul ‘Coral Elegance Unveiled’) as the woman. Vertical 2:3, high resolution, no text, no watermark.","15-30s vertical reel (9:16). HOOK (0-3s): “I flew three thousand miles — and the door closed in my face. But God was opening another one.” VISUALS: a woman standing before a closed door after a long journey, grief in her shoulders; golden light breaking behind her into a wide horizon of many nations. TONE: Faith Over Fear — tender, dignified, hopeful. Optional captions. END CARD: 'This Is How You Walk on Water - Chapter 4'.","60-90s testimony teaser (9:16). ARC: open in grief and rejection — the loss of a mother, a 3,000-mile journey ending at a closed door; move through the wound; resolve as heaven's light opens a wider horizon and God names her Mother of Many Nations (Isaiah 55:5). Loretta 'Lolo' Hall voiceover over soft cinematic b-roll of light, doorway, and far horizon; subtle scripture overlay. CTA: 'Read Chapter 4 of This Is How You Walk on Water.'","Warm, tender, faith-filled — Loretta 'Lolo' Hall. Pace: slow, dignified, hopeful. SEED LINE: “Over twenty years ago — nearly twenty-five years ago — God gave me Isaiah 55:5.” ~120-150 words (long) / ~30 words (reel). End with a gentle invitation to keep walking in faith. CAPTION: “Rejected at the door, but called by God — Mother of Many Nations.” - from Chapter 4 of This Is How You Walk on Water. #FaithOverFear #WalkOnWater #HeavenlyHandsDivine",Needs Review — Chapter Map Update,Mother_of_Many_Nations_Rejected_at_the_Door_Called_by_God,WOWBOOK_CH04_Mother_of_Many_Nations_V1_Draft.png
CH05,The Footprint of Jesus in My Heart,Psalm 119:105,"Thy word is a lamp unto my feet, and a light unto my path.","The imprint of Jesus; His Word as lamp and light; presence in dark places, healing","Calling, intimacy, healing, obedience - the footprint of Jesus. (Expand.)",(to be written - see 01 Manuscript folder),"Cinematic, premium faith-based book illustration for 'This Is How You Walk on Water' - Chapter 5: The Footprint of Jesus in My Heart. Scene: glowing footprints of light walking across water toward a radiant, gentle heart. Mood: intimacy and calling. Style: Heavenly Hands Divine - water motif, divine golden light, deep jewel tones (navy, teal, gold), tasteful, hopeful, fine-art testimony illustration. Vertical 2:3, high resolution, no text, no watermark.","15-30s vertical reel (9:16). HOOK (0-3s): ""Jesus left His footprint on my heart."" VISUALS: glowing footprints of light walking across water toward a radiant, gentle heart; slow cinematic push-in, water and golden light, soft particles. TONE: Faith Over Fear - intimate, uplifting. Optional captions. END CARD: 'This Is How You Walk on Water - Chapter 5'.","60-90s testimony teaser (9:16). ARC: open in the weight of intimacy and calling; move through the moment (glowing footprints of light walking across water toward a radiant, gentle heart); resolve into hope and light. Loretta 'Lolo' Hall voiceover over soft cinematic b-roll of water and golden light; subtle scripture overlay; build to the turning point. CTA: 'Read Chapter 5 of This Is How You Walk on Water.'","Warm, intimate, faith-filled - Loretta 'Lolo' Hall. Pace: slow, tender, hopeful. SEED LINE: ""I learned to walk in the very footprints Jesus left for me."" ~120-150 words (long) / ~30 words (reel). End with a gentle invitation to keep walking in faith. CAPTION: ""Jesus left His footprint on my heart."" - from Chapter 5 of This Is How You Walk on Water. #FaithOverFear #WalkOnWater #HeavenlyHandsDivine",Approved (Loretta) 2026-07-03,Footprint_of_Jesus_in_My_Heart,WOWBOOK_CH05_Footprint_of_Jesus_in_My_Heart_V1_Draft.png
CH06,"When Everyone Walked Out, God Walked In",Psalm 27:10,"When my father and my mother forsake me, then the Lord will take me up.",Abandonment healed; God's presence fills the empty room; the Lord takes me up,"Rejection, rebuilding, God's restoration. (Expand with personal details.)",(to be written - see 01 Manuscript folder),"Cinematic, premium faith-based book illustration for 'This Is How You Walk on Water' - Chapter 6: When Everyone Walked Out, God Walked In. Scene: an open doorway; silhouettes leaving into shadow while brilliant divine light enters. Mood: rejection turned to His presence. Style: Heavenly Hands Divine - water motif, divine golden light, deep jewel tones (navy, teal, gold), tasteful, hopeful, fine-art testimony illustration. Feature Loretta 'Lolo' Hall's likeness (Higgsfield Soul 'Coral Elegance Unveiled') as the woman. Vertical 2:3, high resolution, no text, no watermark.","15-30s vertical reel (9:16). HOOK (0-3s): ""When everyone walked out, God walked in."" VISUALS: an open doorway; silhouettes leaving into shadow while brilliant divine light enters; slow cinematic push-in, water and golden light, soft particles. TONE: Faith Over Fear - intimate, uplifting. Optional captions. END CARD: 'This Is How You Walk on Water - Chapter 6'.",60-90s testimony teaser (9:16). ARC: open in the weight of rejection turned to His presence; move through the moment (an open doorway; silhouettes leaving into shadow while brilliant divine light enters); resolve into hope and light. Loretta 'Lolo' Hall voiceover over soft cinematic b-roll of water and golden light; subtle scripture overlay; build to the turning point. CTA: 'Read Chapter 6 of This Is How You Walk on Water.',"Warm, intimate, faith-filled - Loretta 'Lolo' Hall. Pace: slow, tender, hopeful. SEED LINE: ""The exit of people became the entrance of God."" ~120-150 words (long) / ~30 words (reel). End with a gentle invitation to keep walking in faith. CAPTION: ""When everyone walked out, God walked in."" - from Chapter 6 of This Is How You Walk on Water. #FaithOverFear #WalkOnWater #HeavenlyHandsDivine",Approved (Loretta) 2026-07-03,When_Everyone_Walked_Out_God_Walked_In,WOWBOOK_CH06_When_Everyone_Walked_Out_God_Walked_In_V1_Draft.png
CH07,"Season of Shadows: When I Lost Everything, But God Kept Me",Psalm 23:4,"Yea, though I walk through the valley of the shadow of death, I will fear no evil: for thou art with me…",Loss from every side; the valley of the shadow; God kept me,"Losing much, finding God's presence. (Expand with personal details.)",(to be written - see 01 Manuscript folder),"Cinematic, premium faith-based book illustration for 'This Is How You Walk on Water' - Chapter 7: Season of Shadows: When I Lost Everything, But God Kept Me. Scene: a woman in a long valley of shadows held by a single shaft of golden light. Mood: loss and sustaining grace. Style: Heavenly Hands Divine - water motif, divine golden light, deep jewel tones (navy, teal, gold), tasteful, hopeful, fine-art testimony illustration. Feature Loretta 'Lolo' Hall's likeness (Higgsfield Soul 'Coral Elegance Unveiled') as the woman. Vertical 2:3, high resolution, no text, no watermark.","15-30s vertical reel (9:16). HOOK (0-3s): ""I lost so much - but God kept me."" VISUALS: a woman in a long valley of shadows held by a single shaft of golden light; slow cinematic push-in, water and golden light, soft particles. TONE: Faith Over Fear - intimate, uplifting. Optional captions. END CARD: 'This Is How You Walk on Water - Chapter 7'.",60-90s testimony teaser (9:16). ARC: open in the weight of loss and sustaining grace; move through the moment (a woman in a long valley of shadows held by a single shaft of golden light); resolve into hope and light. Loretta 'Lolo' Hall voiceover over soft cinematic b-roll of water and golden light; subtle scripture overlay; build to the turning point. CTA: 'Read Chapter 7 of This Is How You Walk on Water.',"Warm, intimate, faith-filled - Loretta 'Lolo' Hall. Pace: slow, tender, hopeful. SEED LINE: ""In the season I lost everything, God kept the one thing the enemy wanted most: me."" ~120-150 words (long) / ~30 words (reel). End with a gentle invitation to keep walking in faith. CAPTION: ""I lost so much - but God kept me."" - from Chapter 7 of This Is How You Walk on Water. #FaithOverFear #WalkOnWater #HeavenlyHandsDivine",Approved (Loretta) 2026-07-03,Season_of_Shadows_But_God,WOWBOOK_CH07_Season_of_Shadows_But_God_V1_Draft.png
CH08,The Fourth Dog: Grief at the Teeth of Another,Psalm 34:18,The Lord is nigh unto them that are of a broken heart; and saveth such as be of a contrite spirit.,"Grief, loss, trauma, companionship, love, brokenheartedness, God's comfort","Loss and grief, comforted by God. (Expand with personal details.)",(to be written - see 01 Manuscript folder),"Cinematic, premium faith-based book illustration for 'This Is How You Walk on Water' - Chapter 8: The Fourth Dog: Grief at the Teeth of Another. Scene: a tender, sorrowful moment of comfort by soft candlelight; gentle hands and quiet peace. Mood: grief met by comfort. Style: Heavenly Hands Divine - water motif, divine golden light, deep jewel tones (navy, teal, gold), tasteful, hopeful, fine-art testimony illustration. Vertical 2:3, high resolution, no text, no watermark.","15-30s vertical reel (9:16). HOOK (0-3s): ""Grief came again - and so did God's comfort."" VISUALS: a tender, sorrowful moment of comfort by soft candlelight; gentle hands and quiet peace; slow cinematic push-in, water and golden light, soft particles. TONE: Faith Over Fear - intimate, uplifting. Optional captions. END CARD: 'This Is How You Walk on Water - Chapter 8'.","60-90s testimony teaser (9:16). ARC: open in the weight of grief met by comfort; move through the moment (a tender, sorrowful moment of comfort by soft candlelight; gentle hands and quiet peace); resolve into hope and light. Loretta 'Lolo' Hall voiceover over soft cinematic b-roll of water and golden light; subtle scripture overlay; build to the turning point. CTA: 'Read Chapter 8 of This Is How You Walk on Water.'","Warm, intimate, faith-filled - Loretta 'Lolo' Hall. Pace: slow, tender, hopeful. SEED LINE: ""Even in repeated grief, the God of all comfort drew near to me."" ~120-150 words (long) / ~30 words (reel). End with a gentle invitation to keep walking in faith. CAPTION: ""Grief came again - and so did God's comfort."" - from Chapter 8 of This Is How You Walk on Water. #FaithOverFear #WalkOnWater #HeavenlyHandsDivine",Needs Loretta / My Grace Content Review,The_Fourth_Dog_Grief_at_the_Teeth_of_Another,WOWBOOK_CH08_The_Fourth_Dog_Grief_at_the_Teeth_of_Another_V1_Draft.png
CH09,"The Daughter I Raised, the Silence I Carry",Psalm 56:8,...put thou my tears into thy bottle: are they not in thy book?,Hidden Grief & Love,"Carrying silent grief over a loved one, held by God. (Expand.)",(to be written - see 01 Manuscript folder),"Cinematic, premium faith-based book illustration for 'This Is How You Walk on Water' - Chapter 9: The Daughter I Raised, the Silence I Carry. Scene: a mother's hands holding an empty photo frame in a quiet room touched by a fragile light of hope. Mood: silent grief and enduring love. Style: Heavenly Hands Divine - water motif, divine golden light, deep jewel tones (navy, teal, gold), tasteful, hopeful, fine-art testimony illustration. Feature Loretta 'Lolo' Hall's likeness (Higgsfield Soul 'Coral Elegance Unveiled') as the woman. Vertical 2:3, high resolution, no text, no watermark.","15-30s vertical reel (9:16). HOOK (0-3s): ""The silence I carry, God hears."" VISUALS: a mother's hands holding an empty photo frame in a quiet room touched by a fragile light of hope; slow cinematic push-in, water and golden light, soft particles. TONE: Faith Over Fear - intimate, uplifting. Optional captions. END CARD: 'This Is How You Walk on Water - Chapter 9'.",60-90s testimony teaser (9:16). ARC: open in the weight of silent grief and enduring love; move through the moment (a mother's hands holding an empty photo frame in a quiet room touched by a fragile light of hope); resolve into hope and light. Loretta 'Lolo' Hall voiceover over soft cinematic b-roll of water and golden light; subtle scripture overlay; build to the turning point. CTA: 'Read Chapter 9 of This Is How You Walk on Water.',"Warm, intimate, faith-filled - Loretta 'Lolo' Hall. Pace: slow, tender, hopeful. SEED LINE: ""God hears the prayers I pray in silence over the ones I love."" ~120-150 words (long) / ~30 words (reel). End with a gentle invitation to keep walking in faith. CAPTION: ""The silence I carry, God hears."" - from Chapter 9 of This Is How You Walk on Water. #FaithOverFear #WalkOnWater #HeavenlyHandsDivine",Not Started,The_Daughter_I_Raised_the_Silence_I_Carry,WOWBOOK_CH09_The_Daughter_I_Raised_the_Silence_I_Carry_V1_Draft.png
CH10,I Stayed. They Strayed. But God Stayed With Me,Hebrews 13:5,"I will never leave thee, nor forsake thee.",Faithfulness,Faithful when others strayed; God never left. (Expand.),(to be written - see 01 Manuscript folder),"Cinematic, premium faith-based book illustration for 'This Is How You Walk on Water' - Chapter 10: I Stayed. They Strayed. But God Stayed With Me. Scene: a steadfast figure standing on a rock as waters part around her. Mood: faithfulness and companionship. Style: Heavenly Hands Divine - water motif, divine golden light, deep jewel tones (navy, teal, gold), tasteful, hopeful, fine-art testimony illustration. Feature Loretta 'Lolo' Hall's likeness (Higgsfield Soul 'Coral Elegance Unveiled') as the woman. Vertical 2:3, high resolution, no text, no watermark.","15-30s vertical reel (9:16). HOOK (0-3s): ""They strayed - but God stayed."" VISUALS: a steadfast figure standing on a rock as waters part around her; slow cinematic push-in, water and golden light, soft particles. TONE: Faith Over Fear - intimate, uplifting. Optional captions. END CARD: 'This Is How You Walk on Water - Chapter 10'.",60-90s testimony teaser (9:16). ARC: open in the weight of faithfulness and companionship; move through the moment (a steadfast figure standing on a rock as waters part around her); resolve into hope and light. Loretta 'Lolo' Hall voiceover over soft cinematic b-roll of water and golden light; subtle scripture overlay; build to the turning point. CTA: 'Read Chapter 10 of This Is How You Walk on Water.',"Warm, intimate, faith-filled - Loretta 'Lolo' Hall. Pace: slow, tender, hopeful. SEED LINE: ""When others wandered, I stayed - and God stayed with me."" ~120-150 words (long) / ~30 words (reel). End with a gentle invitation to keep walking in faith. CAPTION: ""They strayed - but God stayed."" - from Chapter 10 of This Is How You Walk on Water. #FaithOverFear #WalkOnWater #HeavenlyHandsDivine",Not Started,I_Stayed_They_Strayed_But_God_Stayed,WOWBOOK_CH10_I_Stayed_They_Strayed_But_God_Stayed_V1_Draft.png
