Master_Chapter_ID,Chapter,Chapter_Title,Scripture_Ref,Theme,Manuscript_Status,Master_Version,Manuscript_Location,Last_Approved
WOW-CH01,CH01,In the Beginning: James and Margaret,Psalm 139:16,Origins & Foreknowledge,Approved (Loretta),1,WOW Book – This Is How You Walk on Water/01 Manuscript – Chapters/CH01/,2026-07-03
WOW-CH02,CH02,Every Girl Needs a James,Proverbs 18:24,"Covering, protection, safe love, godly support",Approved (Loretta),1,WOW Book – This Is How You Walk on Water/01 Manuscript – Chapters/CH02/,2026-07-03
WOW-CH03,CH03,"The Foster Room Wasn't Home, But God Was",Psalm 27:10,Belonging,Draft,1,WOW Book – This Is How You Walk on Water/01 Manuscript – Chapters/CH03/,
WOW-CH04,CH04,"Mother of Many Nations: Rejected at the Door, Called by God",Isaiah 55:5,"Rejection, mother wound, identity, nations, divine calling",Needs Review — Chapter Map Update,1,WOW Book – This Is How You Walk on Water/01 Manuscript – Chapters/CH04/,
WOW-CH05,CH05,The Footprint of Jesus in My Heart,Psalm 119:105,"The imprint of Jesus; His Word as lamp and light; presence in dark places, healing",Approved (Loretta),1,WOW Book – This Is How You Walk on Water/01 Manuscript – Chapters/CH05/,2026-07-03
WOW-CH06,CH06,"When Everyone Walked Out, God Walked In",Psalm 27:10,Abandonment healed; God's presence fills the empty room; the Lord takes me up,Pending Loretta Approval,1,WOW Book – This Is How You Walk on Water/01 Manuscript – Chapters/CH06/,
WOW-CH07,CH07,"Season of Shadows: When I Lost Everything, But God Kept Me",Psalm 23:4,Loss from every side; the valley of the shadow; God kept me,Pending Loretta Approval,1,WOW Book – This Is How You Walk on Water/01 Manuscript – Chapters/CH07/,
WOW-CH08,CH08,The Fourth Dog: Grief at the Teeth of Another,Psalm 34:18,Grief & Comfort,Draft,1,WOW Book – This Is How You Walk on Water/01 Manuscript – Chapters/CH08/,
WOW-CH09,CH09,"The Daughter I Raised, the Silence I Carry",Psalm 56:8,Hidden Grief & Love,Draft,1,WOW Book – This Is How You Walk on Water/01 Manuscript – Chapters/CH09/,
WOW-CH10,CH10,I Stayed. They Strayed. But God Stayed With Me,Hebrews 13:5,Faithfulness,Draft,1,WOW Book – This Is How You Walk on Water/01 Manuscript – Chapters/CH10/,
WOW-CH11,CH11,The Hospital Stay: God Was in the Room,Psalm 41:3,Presence in Sickness,Draft,1,WOW Book – This Is How You Walk on Water/01 Manuscript – Chapters/CH11/,
WOW-CH12,CH12,"Still Living With Rods: 39 Bolts, 39 Stripes",Isaiah 53:5,Pain & Healing,Draft,1,WOW Book – This Is How You Walk on Water/01 Manuscript – Chapters/CH12/,
WOW-CH13,CH13,The Four Nodules Diagnosis: Whose Report Will You Believe?,Isaiah 53:1,Faith over the Report,Draft,1,WOW Book – This Is How You Walk on Water/01 Manuscript – Chapters/CH13/,
WOW-CH14,CH14,The Water Did Not Drown Me,Isaiah 43:2,Survival & Deliverance,Draft,1,WOW Book – This Is How You Walk on Water/01 Manuscript – Chapters/CH14/,
WOW-CH15,CH15,The Dove Experiences: God Came Like a Dove,Matthew 3:16,Peace & the Spirit,Draft,1,WOW Book – This Is How You Walk on Water/01 Manuscript – Chapters/CH15/,
