Product_ID,Master_Chapter_ID,Chapter,Product_Type,Publish_Status,Master_Version,Published_From_Version,Store_URL,Notes
WOW-CH01-PDF,WOW-CH01,CH01,WOW PDF,Draft,1,0,,
WOW-CH01-SCROLL,WOW-CH01,CH01,Prayer Scroll,Draft,1,0,,
WOW-CH01-STUDY,WOW-CH01,CH01,Study Guide,Draft,1,0,,
WOW-CH01-JOURNAL,WOW-CH01,CH01,Journal Pages,Draft,1,0,,
WOW-CH01-AUDIO,WOW-CH01,CH01,Audio Prayer,Draft,1,0,,
WOW-CH01-VIDEO,WOW-CH01,CH01,Video Teaching,Draft,1,0,,
WOW-CH01-BUNDLE,WOW-CH01,CH01,Chapter Bundle,Draft,1,0,,
WOW-CH02-PDF,WOW-CH02,CH02,WOW PDF,Draft,1,0,,
WOW-CH02-SCROLL,WOW-CH02,CH02,Prayer Scroll,Draft,1,0,,
WOW-CH02-STUDY,WOW-CH02,CH02,Study Guide,Draft,1,0,,
WOW-CH02-JOURNAL,WOW-CH02,CH02,Journal Pages,Draft,1,0,,
WOW-CH02-AUDIO,WOW-CH02,CH02,Audio Prayer,Draft,1,0,,
WOW-CH02-VIDEO,WOW-CH02,CH02,Video Teaching,Draft,1,0,,
WOW-CH02-BUNDLE,WOW-CH02,CH02,Chapter Bundle,Draft,1,0,,
WOW-CH03-PDF,WOW-CH03,CH03,WOW PDF,Draft,1,0,,
WOW-CH03-SCROLL,WOW-CH03,CH03,Prayer Scroll,Draft,1,0,,
WOW-CH03-STUDY,WOW-CH03,CH03,Study Guide,Draft,1,0,,
WOW-CH03-JOURNAL,WOW-CH03,CH03,Journal Pages,Draft,1,0,,
WOW-CH03-AUDIO,WOW-CH03,CH03,Audio Prayer,Draft,1,0,,
WOW-CH03-VIDEO,WOW-CH03,CH03,Video Teaching,Draft,1,0,,
WOW-CH03-BUNDLE,WOW-CH03,CH03,Chapter Bundle,Draft,1,0,,
WOW-CH04-PDF,WOW-CH04,CH04,WOW PDF,Draft,1,0,,
WOW-CH04-SCROLL,WOW-CH04,CH04,Prayer Scroll,Draft,1,0,,
WOW-CH04-STUDY,WOW-CH04,CH04,Study Guide,Draft,1,0,,
WOW-CH04-JOURNAL,WOW-CH04,CH04,Journal Pages,Draft,1,0,,
WOW-CH04-AUDIO,WOW-CH04,CH04,Audio Prayer,Draft,1,0,,
WOW-CH04-VIDEO,WOW-CH04,CH04,Video Teaching,Draft,1,0,,
WOW-CH04-BUNDLE,WOW-CH04,CH04,Chapter Bundle,Draft,1,0,,
WOW-CH05-PDF,WOW-CH05,CH05,WOW PDF,Draft,1,0,,
WOW-CH05-SCROLL,WOW-CH05,CH05,Prayer Scroll,Draft,1,0,,
WOW-CH05-STUDY,WOW-CH05,CH05,Study Guide,Draft,1,0,,
WOW-CH05-JOURNAL,WOW-CH05,CH05,Journal Pages,Draft,1,0,,
